Questions,Answers,Label
ازاي اشترك؟,زيارة أقرب فرع بالبطاقة (سارية وسليمة) والرسوم 5 جنيه.,فودافون كاش
كيفية إنشاء رقم سري؟,"عميل جديد: كود *9*5#  لو أنت عميل جديد وتكتب 6 أرقام غير متشابهين أو متسلسلين باللغة الإنجليزية  ، عميل قديم (ناسي الرقم): كود *9*12#  واكتب رقم البطاقة ثم رقم سري جديد مكون من 6 أرقام غير متسلسلين أو متشابهين باللغة الإنجليزية.",فودافون كاش
ازاي احول فلوس من محفظتي؟,تقدر تحول من محفظتك لأي محفظة سواء ڤودافون أو أي محفظة خارجية داخل مصر عن طريق كود *9*7*رقم الموبايل *المبلغ # أو عن طريق تطبيق أنا ڤودافون.,فودافون كاش
ازاي اشحن رصيد من المحفظة؟,"لنفسك: عن طريق كود *9*0*المبلغ# أو عن طريق تطبيق أنا ڤودافون ، لرقم آخر:  كود *9*3*رقم الموبايل*المبلغ # أو عن طريق تطبيق أنا ڤودافون",فودافون كاش
ازاي ادفع فاتورة؟,سواء فاتورتك او فاتورة رقم تاني عن طريق كود *9*4*رقم الموبايل*المبلغ# أو عن طريق تطبيق أنا ڤودافون من اللينك ده http://vf.eg/Vfcash,فودافون كاش
ازاي أعمل إيداع في المحفظة؟,"من خلال فروع فودافون، ماكينات الصراف الآلي، أو منافذ (فوري، أمان، بي، ضامن، ممكن، مصاري).",فودافون كاش
ازاي أعمل سحب من المحفظة؟,من فروع فودافون أو ماكينات الصراف الآلي (كود *9*22#) وبتوصلك رسالة على موبايلك فيها كود وبتختار من الماكينة الرقم والمبلغ وتكتب الكود اللي وصلك عالموبايل وتستلم المبلغ,فودافون كاش
ازاي استخدمه للشراء اونلاين؟,عن طريق كود *9*100# وتحدد المبلغ وبيوصلك رسالة فيها تفاصيل. الكارت صالح لإجراء عمليتين في خلال 24 ساعة ورسوم الكارت 5 جنيه.,فودافون كاش
ازاي ادفع المرافق أو الخدمات الإلكترونية؟,عن طريق كود *9*105# واختار الجهة اللي هدفعلها أو عن طريق تطبيق أنا ڤودافون من اللينك ده http://vf.eg/Vfcash,فودافون كاش
ازاي استلم المعاش عن طريق فودافون كاش؟,العميل بيزور أقرب فرع وبيمضي علي وثيقة خاصة بالمعاش وبيفعل محفظة ڤودافون كاش وبيقدر يستلم المبلغ عالمحفظة كل شهر,فودافون كاش
ازاي اتبرع من المحفظة؟,عن طريق كود *9# واختار خدمة التبرعات وحدد الجهة والمبلغ أو عن طريق تطبيق أنا ڤودافون من اللينك ده http://vf.eg/Vfcash,فودافون كاش
إيه المبلغ المحدد للمحفظة؟,"المبلغ اليومي: 60,000 جنيه ، المبلغ الشهري وسعة المحفظة: 200,000 جنيه.",فودافون كاش
ازاي أعمل إيداع من الكارت البنكي للمحفظة؟,عن طريق استخدام تطبيق أنا ڤودافون من 10 جنيه ل 2000 جنيه في المرة الواحدة.,فودافون كاش
ازاي الغي المحفظة؟,"زيارة أقرب فرع مجاناً أو من خلال لينك ""ميزة"" وإدخال رقم البطاقة.",فودافون كاش
ايه هي مميزات التجوال في أنظمة ريد الجديدة؟,"استخدام انترنت باقتك المحلية أثناء التجوال بحد أقصى 10 جيجا لمدة أسبوع (في 55 دولة) ، يمكن مشاركة أسبوع التجوال مع أفراد العيلة.",التجوال والمكالمات الدولية
ايه الـ 55 دولة اللي شغال فيها خدمة Take Your Bundle Abroad؟,"الجزائر، الكونغو، غانا. كينيا، ليسوتو، المغرب، موزمبيق، جزيرة ريونيون، جنوب أفريقيا، سوازيلاند، تنزانيا ، أفغانستان، أرمينيا، البحرين، بنغلاديش، الصين، الهند، العراق، الأردن، كازاخستان، الكويت، قيرغيزستان، لبنان، ميانمار، عمان، باكستان، قطر، المملكة العربية السعودية، كوريا الجنوبية، تايلاند، تركيا، الإمارات العربية المتحدة، أوزبكستان، نيوزيلندا ، ألبانيا، بلجيكا، جمهورية التشيك، فرنسا، ألمانيا، اليونان، المجر، أيرلندا، إيطاليا، لوكسمبورغ، مالطا، هولندا، البرتغال، رومانيا، روسيا. إسبانيا، سويسرا، أوكرانيا، المملكة المتحدة ، كندا، الولايات المتحدة الأمريكية.",التجوال والمكالمات الدولية
ازاي أشغل الميزة دي؟, هتقدر تشغل الأسبوع المجاني عن طريق تطبيق Ana Vodafone.,التجوال والمكالمات الدولية
ازاي هتحاسب على مكالماتي الدولية؟,"تختلف الأسعار حسب الدولة والتوقيت، ويمكن متابعتها عبر الرابط المخصص https://web.vodafone.com.eg/en/international-standard-rates.",التجوال والمكالمات الدولية
في خدمة ممكن توفر في أسعار مكالماتي الدولية؟,"خدمة ""العالم بين ايديك"" بتوفر أقل سعر في مصر الدقيقة (8 قروش للدقيقة) والاشتراك عبر الاتصال بـ 5055.",التجوال والمكالمات الدولية
أقدر اشتري خط جديد ازاي؟,من أقرب فرع بقيمة 85 جنيه وتقدر تعرف أقرب فرع من خلال #10*888* http://vf.eg/vfstores.,خدمات وأنظمة الكارت
إيه أنظمة الكارت الحالية؟,"نظام ""14 قرش ريح بالك"". وتقدر تغير خطة أسعارك من خلال كود #880 أو تطبيق أنا فودافون.",خدمات وأنظمة الكارت
ازاي اشغل كارت مارد أو الفكة من رصيدي؟,كارت المارد أو الفكة بيدي وحدات لفترة محددة وتقدر تفعله من خلال #85*أو تطبيق أنا ڤودافون https://web.vodafone.com.eg/en/kart-el-korout.,خدمات وأنظمة الكارت
نظام فليكس عبارة عن إيه؟,فليكس نظام بيقدم وحدات تستخدمها للمكالمات أو الانترنت بأسعار تبدأ من 30 إلي 200 جم. أعرف أكتر من هنا https://web.vodafone.com.eg/ar/vodafone-flex,خدمات وأنظمة الكارت
اشترك ازاي في نظام فليكس؟,تقدر تشترك في نظام فليكس أو تغير نظامك من خلال كود #880* أو عن طريق تطبيق أنا ڤودافون من اللينك ده http://vf.eg/myplan,خدمات وأنظمة الكارت
ممكن اشغل باقة نت ازاي؟,عن طريق #2000* أو تطبيق أنا ڤودافون.,خدمات وأنظمة الكارت
اعرف العروض منين؟,من خلال كود #365* لعروض الفليكسات و #200* لعروض الانترنت أو تستخدم تطبيق أنا ڤودافون.,خدمات وأنظمة الكارت
الفليكس كوينز عبارة عن إيه؟,ده نظام مكافآت خاص بنظام فليكس بتقدر تعرف عروضه و طريقة استخدامه من #5*,خدمات وأنظمة الكارت
ازاي أجدد / اعرف ميعاد التجديد؟,تقدر تستعلم وتجدد الباقة عن طريق الكود *225#,خدمات وأنظمة الكارت
فليكس عالنوتة عبارة عن إيه؟,خدمة جديدة بتقدم إمكانية تجديد باقة فليكس من غير رصيد ويتم السداد خلال أسبوع,خدمات وأنظمة الكارت
خدمات فليكس الترفيهية؟,"من أول فليكس 70 لفليكس 200 نظام فليكس بيقدم اشتراك أنغامي و WatchIT مع تجديد الباقة، وتقدر تشترك من خلال #88*880* او تطبيق أنا ڤودافون",خدمات وأنظمة الكارت
فليكس فاميلي؟,نظام فليكس بيقدم خاصية العيلة بتقدر تختار رقم تضيفه يشارك معاك جزء من باقتك من أول فليكس 70 وتضيفهم من خلال #909*.,خدمات وأنظمة الكارت
اتابع استهلاك الرصيد أو الفليكسات منين؟,بتقدر تتابع استهلاك الرصيد أو الفليكسات من خلال #60*  أو تطبيق أنا ڤودافون,خدمات وأنظمة الكارت
اعرف استهلاك النت أو المتبقي معايا ازاي؟,تقدر تستخدم كود #9*2000* أو من خلال تطبيق أنا ڤودافون,خدمات وأنظمة الكارت
ازاي اشغل واعمل الغاء للكول تون؟,لو عايز تشغل كول تون بتطلب 5555 ولو عايز تلغيها اطلب #0*055*,خدمات وأنظمة الكارت
ازاي احول رصيد؟,بتقدر تستخدم خدمة تحويل الرصيد من خلال #المبلغ*الرقم*2*868*رسم تحويل  %18 أو عن طريق تطبيق أنا ڤودافون. ,خدمات وأنظمة الكارت
ايه هي خدمة الاحتفاظ بالمكالمات؟,الاحتفاظ بالمكالمات هى خدمة بتعرفك مين حاول يتصل بيك والموبايل غير متاح أو مغلق وتقدر تفعلها من خلال #3*888*,خدمات وأنظمة الكارت
ايه هي القائمة السوداء؟,بتخليك تقدر تمنع أي مكالمات غير مرغوب فيها وبتشتغل من خلال #7* أو تطبيق أنا ڤودافون. ,خدمات وأنظمة الكارت
ايه هي القائمة البيضاء؟,بتخليك تقدر تختار الأرقام اللي تقدر توصلك وبتشترك من خلال #45* أو تطبيق أنا ڤودافون.,خدمات وأنظمة الكارت
ايه هي خدمة سلفني؟,خدمة سلفني بتقدملك إمكانية إنك تاخد رصيد مقدمًا ب 3 جنيه في المرة ورسم جنيه عن طريق #3* وتقدر تتابع تاريخ السلف من #5*3*,خدمات وأنظمة الكارت
ايه هي عالنوته؟,هتقدر تعمل مكالمة واحدة بحد أقصى 3 دقائق مقابل 60 قرش بتتخصم من أول مرة تشحن فيها.,خدمات وأنظمة الكارت
هو برنامج شكرا في رمضان بس ؟,برنامج شكرا مكمل لبعد رمضان.,برنامج شكرا للمكافئات
ايه هو برنامج شكرا ؟,"برنامج شكرا للمكافات اللي من خلاله العميل بيقدر يجمع نقط على كل جنية صرفه و يحولهم فلوس علي محفظة فودافون كاش يجيب بيهم أي حاجة من خلال فودافون كاش او من شركائنا ( كنتاكي، بيم، طلبات، المالكي، تسيباس.",برنامج شكرا للمكافئات
النقاط بتنتهي امتي ؟,صلاحية نقاط برنامج شك را 12 شهر.,برنامج شكرا للمكافئات
اعرف استخدم النقاط في ايه ؟,"حضرتك هتحولهم لفلوس على محفظتك على صفحة برنامج شكرا علي ابلكيشن انا فودافون تجيب بيهم اي حاجة من خلال فودافون كاش او من شركائنا ( كنتاكي, بيم, طلبات, المالكي, تسيباس) . ممكن تدفع فواتير الكهربا او الغاز, تشحن رصيد او تجدد باقات . و في websites بتسمح بالدفع online زي رنين etc . شركاء زي بيم, كنتاكي طلبات, المالكي, تسيباس من خلال الفروع,حضرتك بتروح الفرع و تدفع برقم قسيمة الشراء اللي اتبعت لحضرتك في رسالة او موجود علي صفحة برنامج شكرا علي ابلكيشن انا فودافون.",برنامج شكرا للمكافئات
رقم الكوبون ضاع مني اقدر اجيبوا تاني ؟,موجود علي انا فودافون ابلكيشن في صفحة برنامج شكرا.,برنامج شكرا للمكافئات
افتح محفظة ازاي عشان احول النقط لفلوس ؟,تزور اقرب فرع ليك ببطاقة سارية لمعرفه اقرب فرع ليك كلم #10*888*,برنامج شكرا للمكافئات
هي النقطة بكام جنية ؟,الجنية بنقطة.,برنامج شكرا للمكافئات
ممكن استخدم الفلوس اللي اتحولت على محفظة فودافون في ال VCN؟,حضرتك ممكن تعمل بيها اي حاجة من خلال فودافون كاش ماعدا السحب او ارسالها لشخص آخر.,برنامج شكرا للمكافئات
شحنت 100 جنية ومنزليش نقط ليه ؟,"حضرتك لازم تجدد أو تشترك في باقة Flex, Plus, DSL, Home Wireless او تشتري كارت فكة 9 أو اكثر عشان ينزلك نقط.",برنامج شكرا للمكافئات
ليه بحاول ابعت او اسحب فلوس كسبتها من برنامج شكرا ومش عارف ؟,"فلوس حضرتك مينفعش تتسحب أو تبعتها لحد، لازم تصرفها من خلال فودافون كاش او شركائنا كنتاكي، طلبات، بيم، تسيباس، المالكي.",برنامج شكرا للمكافئات
انا جددت باقة Home Wireless بس منزليش نقط ؟,حضرتك لازم تكون عامل Link لخط ال Home Wireless بتاع حضرتك لنمرة موبيلك عن طريق تطبيق انا فودافون عشان نقدر ننزل لحضرتك النقط.,برنامج شكرا للمكافئات
انا جددت باقة فليكس 70 بس دافع 100 جنية لية نزلي 70 نقطة بس؟,عشان النقط بتنزل لحضرتك على سعر الباقة لانظمة فليكس.,برنامج شكرا للمكافئات
انا شحنت كارت فكة 9 بس نزل 6 نقط بس ؟,عشان النقط بتنزل لحضرتك علي سعر الكارت بعد خصم ضريبة 30% (كارت 9 = 6 نقط).,برنامج شكرا للمكافئات
جددت باقة DSL من رصيدي و منزليش نقاط ؟,حضرتك لازم تجدد الباقة من خلال الخط الارضي عشان تنزل النقط.,برنامج شكرا للمكافئات
"لعملاء كنترول الشركات انا النمرة باسمي، ليه مش بينزلي النقاط ؟",حضرتك البرنامج ده لمستخدمي الخط و بيتم اضافة النقاط ليهم عند اصدار الفاتورة.,برنامج شكرا للمكافئات
لعملاء كنترول الشركات انا كان عندي كوينز على فليكس كوينز هما كده هيروحوا مني ؟,"حضرتك فليكس كوينز هيقف وهيتم تجميع النقط على برنامج شكرا الجديد ابتداء من شهر رمضان، فحضرتك محتاج تستخدم الكوينز او تتحول الكوينز لنقط على برنامج شكرا من خلال الابلكيشن",برنامج شكرا للمكافئات
إيه هي أنظمة الريد؟,"نظام ريد هو نظام الخط المفتوح اللي بيقدم لك مجموعة من الدقائق والرسائل والموبايل انترنت والانترنت الأرضي أو الهوائي بالإضافة للاشتراكات الترفيهية اللي بتقدر تستمتع بيها على حسب نظام خطك ، وتقدر تشوف أنظمة ريد من خلال اللينك ده http://vf.eg/myplan",أنظمة Red
ازاي أقدر احول لنظام ريد ؟,"التحويل بيكون مجانًا عن طريق زيارتك لأقرب فرع ببطاقة الرقم القومي السارية (للمصريين)، وجواز السفر والاقامة بالنسبة للأجانب.",أنظمة Red
لو عايز اشتري خط جديد ؟,"تقدر تشتري خط جديد عن طريق فروع فودافون أو من خلال الشراء اونلاين من خلال موقعنا https://web.vodafone.com.eg/en/vodafone-red1. ، تكلفة الخط 200 جنيه.",أنظمة Red
ايه هي طريقة المحاسبة بعد انتهاء الباقة؟,"هتقدر تتابع استخدامك من الدقائق والرسائل والانترنت من خلال تطبيق أنا فودافون علشان تقدر تتحكم في استخدامك ، والمحاسبة بعد انتهاء الباقة بتكون 19 قرش للدقيقة، 30 قرش للـ SMS. ، ويمكنك استخدام باقات الانترنت الإضافية.",أنظمة Red
ازاي أعرف فاتورتي وازاي ادفعها ؟,"بتقدر تشوف تفاصيل فاتورتك وتتعرف عليها بمجرد صدورها من خلال تطبيق Ana Vodafone ، والسداد بيكون له اكثر من طريقة غير الفروع بتكون أسهل وأسرع ومن غير تعب زي: 1. السداد من خلال محفظة فودافون كاش، 2 من خلال الكارت البنكي الخاص بيك عن طريق أنا فودافون http://vf.eg/bill، 3 من خلال كروت الشحن، 4. الموزعين زي فوري وأمان ومصاري.",أنظمة Red
ايه الخدمات الإضافية اللي بيقدمها نظام ريد؟," خدمة تقسيط الموبايل من خلال فروع ڤودافون: وده بيكون بحد أقصى على حسب خطة الأسعار مع سداد 20 % من قيمة الجهاز. RED Essential: 6000 L.E ، RED Advance: 12000 L.E RED Prime & Elite 25000 L.E",أنظمة Red
ايه هي خدمات ريد الترفيهية ؟,"هي مجموعة من الاشتراكات اللي تقدر تستمتع بيها على حسب نظام خطك زي: Anghami, OSN, Shahid VIP, WATCH IT, beIN Connect, Starzplay ، بكل سهولة على حسب نظامك زور https://web.vodafone.com.eg/en/red-videos.",أنظمة Red
ايه هي خدمة العائلة لريد ؟,هي أرقام من اختيارك تقدر تشارك معاها باقتك من دقائق ورسائل وانترنت.,أنظمة Red
كم عدد ال members الممكن إضافته؟,حد أقصى 3 على حسب الباقة.,أنظمة Red
ازاي اعرف تفاصيل الاشتراك الشهري,يرجى التأكد من مراجعة الاشتراك الشهري في الفاتورة التفصيلية.,الدعم والمساعدة
ازاي اعرف تفاصيل استخدام الانترنت,يرجى التأكد من مراجعة الفاتورة التفصيلية لمراجعة تفاصيل استخدام الانترنت الخاص بكم.,الدعم والمساعدة
ازاي اعرف مكالماتي الاضافية,يرجى التأكد من مراجعة الفاتورة التفصيلية لمراجعة المكالمات الاضافية.,الدعم والمساعدة
ازاي اعرف الرسوم و الخصومات الاخري,يرجى التأكد من مراجعة الفاتورة التفصيلية لمراجعه اي رسوم أو خصومات اخري.,الدعم والمساعدة
ازاي اعرف رسوم و خدمات التجوال,يرجى التأكد من مراجعة الفاتورة التفصيلية لمراجعة رسوم و خدمات التجوال.,الدعم والمساعدة
ازاي افتح الفاتورة التفصيلية من خلال موقع او ابليكيشن فودافون ؟,يرجى التأكد من فتح اي ملف PDF من خلال الهاتف أو الكومبيوتر الخاص بكم.,الدعم والمساعدة
ليه مش عارف استخدم الكارت البنكي في دفع الفاتوره؟,يرجى التأكد من أن بطاقة الائتمان أو بطاقة الخصم المباشر الخاصة بكم تعمل بشكل طبيعي لاي عمليه اونلاين أو عبر الانترنت.,الدعم والمساعدة
ليه مش عارف اشوف تفاصيل استهلاكي؟,يرجى التأكد من استخدامك لاخر تحديث لأبليكيشن انا فودافون.,الدعم والمساعدة
ليه مش عارف اعمل ادارة لأفراد العائلة ؟,برجاء التأكد من مميزات نظامك الحالي من خلال قائمة نظامي على التطبيق.,الدعم والمساعدة
ازاي اشترك في الخدمات الترفيهية؟,يرجى التأكد من اشتراكك في الخدمات الترفهيه من خلال تطبيق انا فودافون (اللينك).,الدعم والمساعدة
ليه مش عارف اتصل بالانترنت؟,يرجي التحقق من وضع الشبكه على 4G و يمكنك استخدام الكود *2000*14# لتنشيط الشبكه,الدعم والمساعدة
ليه الانترنت عندي بطيء ؟,يرجى التحقق من باقة الموبايل انترنت و عدد الميجابايت المتبقية.,الدعم والمساعدة
ليه مش عارف اتصل بالانترنت,يرجي التأكد من وجود حراره في الخط الأرضي بدون وش و توصيل الراوتر بالخط الرئيسي.,الدعم والمساعدة
ليه ال DSL بطئ,يرجي التأكد من مراجعة استهلاكك للميجابايت من الباقة الخاصة بكم. يمكنك شراء باقة إضافية من الحساب الخاص بكم.,الدعم والمساعدة
ازاي أقفل حسابي مع فودافون؟,دوس https://web.vodafone.com.eg/en/deactivation-process و هتلاقي دليل خطوه بخطوه عن المطلوب لايقاف تشغيل الخط.,الدعم والمساعدة
